"unique_ids","zip_codes","dates"
"91844DT","37909","01/15/2021"
"91845DT","37917","01/19/2021"
"91846DT","37931","01/19/2021"
"91847DT","37931","01/19/2021"
"91848DT","37917","01/19/2021"
"91849DT","37919","01/22/2021"
"91850DT","37918","01/19/2021"
"91851DT","37918","01/19/2021"
"91852DT","37918","01/19/2021"
"91853DT","37918","01/19/2021"
"91854DT","37921","01/20/2021"
"91855DT","37912","01/20/2021"
"91856DT","37909","01/20/2021"
"91857DT","37912","01/20/2021"
"91858DT","37909","01/20/2021"
"91859DT","37920","01/20/2021"
"91860DT","37912","01/20/2021"
"91861DT","37918","01/19/2021"
"91862DT","37912","01/20/2021"
"91863DT","37919","01/20/2021"
"91864DT","37919","01/20/2021"
"91865DT","37919","01/20/2021"
"91866DT","37919","01/20/2021"
"91867DT","37919","01/20/2021"
"91868DT","37909","01/21/2021"
"91869DT","37849","01/21/2021"
"91870DT","37924","01/21/2021"
"91871DT","37919","01/21/2021"
"91872DT","37931","01/22/2021"
"91873DT","37917","01/22/2021"
"91874DT","37918","01/21/2021"
"91875DT","37923","01/22/2021"
"91876DT","37923","01/22/2021"
"91877DT","37922","01/22/2021"
"91878DT","37920","01/22/2021"
"91879DT","37919","01/22/2021"
"91880DT","37721","01/22/2021"
"91881DT","37923","01/25/2021"
"91882DT","37912","01/26/2021"
"91883DT","37912","01/26/2021"
"91884DT","37912","01/26/2021"
"91885DT","37918","01/26/2021"
"91886DT","37931","01/26/2021"
"91887DT","37914","01/26/2021"
"91888DT","37919","01/27/2021"
"91889DT","37914","01/27/2021"
"91890DT","37919","01/27/2021"
"91891DT","37912","01/27/2021"
"91892DT","37919","01/27/2021"
"91893DT","37912","01/27/2021"
"91894DT","37915","01/27/2021"
"91895DT","37919","01/28/2021"
"91896DT","37912","01/28/2021"
"91897DT","37303","01/13/2021"
"91898DT","37920","01/29/2021"
"91399DT","37919","11/02/2020"
"91400DT","37919","11/02/2020"
"91401DT","37919","11/02/2020"
"91402DT","37923","10/30/2020"
"91403DT","37923","10/30/2020"
"91404DT","37923","10/30/2020"
"91405DT","37923","10/30/2020"
"91406DT","37923","10/30/2020"
"91407DT","37912","10/30/2020"
"91408DT","37923","10/30/2020"
"91409DT","37920","10/30/2020"
"91410DT","37920","11/02/2020"
"91411DT","37934","11/03/2020"
"91412DT","37849","11/03/2020"
"91413DT","37922","11/03/2020"
"91414DT","37922","11/03/2020"
"91415DT","37921","11/03/2020"
"91416DT","37920","11/03/2020"
"91417DT","37921","11/01/2020"
"91418DT","37921","11/05/2020"
"91419DT","37921","11/03/2020"
"91420DT","37934","11/04/2020"
"91421DT","37918","11/04/2020"
"91422DT","37918","11/04/2020"
"91423DT","37909","11/04/2020"
"91424DT","37909","11/04/2020"
"91425DT","37912","11/05/2020"
"91426DT","37920","11/05/2020"
"91427DT","37920","11/05/2020"
"91428DT","37920","11/05/2020"
"91429DT","37914","11/05/2020"
"91430DT","37917","11/05/2020"
"91431DT","37902","11/05/2020"
"91432DT","37914","11/05/2020"
"91433DT","37914","11/05/2020"
"91434DT","37914","11/05/2020"
"91435DT","37912","11/05/2020"
"91436DT","37933","11/05/2020"
"91437DT","37919","11/05/2020"
"91438DT","37919","11/05/2020"
"91439DT","37909","11/05/2020"
"91440DT","37912","11/06/2020"
"91441DT","37912","11/06/2020"
"91442DT","37912","11/06/2020"
"91443DT","37919","11/06/2020"
"91444DT","37919","11/06/2020"
"91445DT","37920","11/06/2020"
"91446DT","37923","11/06/2020"
"91447DT","37919","11/06/2020"
"91448DT","37920","11/06/2020"
"91449DT","37920","11/06/2020"
"91450DT","37917","11/06/2020"
"91451DT","37918","11/06/2020"
"91452DT","37927","11/06/2020"
"91453DT","37923","11/01/2020"
"91454DT","37849","11/06/2020"
"91455DT","37918","11/09/2020"
"91456DT","37918","11/10/2020"
"91457DT","37914","11/10/2020"
"91458DT","37931","11/10/2020"
"91459DT","37923","11/10/2020"
"91460DT","37918","11/10/2020"
"91461DT","37909","11/10/2020"
"91462DT","37909","11/10/2020"
"91463DT","37909","11/10/2020"
"91464DT","37909","11/10/2020"
"91465DT","37909","11/10/2020"
"91466DT","37919","11/10/2020"
"91467DT","37919","11/10/2020"
"91468DT","37919","11/10/2020"
"91469DT","37931","11/10/2020"
"91470DT","37919","11/10/2020"
"91471DT","37919","11/10/2020"
"91472DT","37922","11/10/2020"
"91473DT","37923","11/10/2020"
"91474DT","37919","11/10/2020"
"91475DT","37917","11/10/2020"
"91476DT","37923","11/12/2020"
"91477DT","37918","11/12/2020"
"91478DT","37914","11/12/2020"
"91479DT","37919","11/18/2020"
"91480DT","37921","11/12/2020"
"91481DT","37918","11/12/2020"
"91482DT","37918","11/12/2020"
"91483DT","37918","11/12/2020"
"91484DT","37918","11/12/2020"
"91485DT","37912","11/12/2020"
"91486DT","37912","11/12/2020"
"91487DT","37917","11/12/2020"
"91488DT","37917","11/12/2020"
"91489DT","37917","11/12/2020"
"91490DT","37912","11/12/2020"
"91491DT","37918","11/12/2020"
"91492DT","37914","11/13/2020"
"91493DT","37914","11/13/2020"
"91494DT","37919","11/13/2020"
"91495DT","37917","11/13/2020"
"91496DT","37923","11/13/2020"
"91497DT","37914","11/13/2020"
"91498DT","37917","11/13/2020"
"91499DT","37919","11/13/2020"
"91500DT","37919","11/13/2020"
"91501DT","37919","11/13/2020"
